"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.53356623452895e-180,1.75102574277882,0.34,0.103,1.96849075610554e-175,"2","KYNU"
4.31895450333788e-117,1.6854688673288,0.372,0.169,8.91777725849205e-113,"2","ITGB2"
3.28624287116549e-79,1.62566580809634,0.312,0.151,6.7854342803825e-75,"2","DUSP4"
5.18476869177409e-219,1.54871124663305,0.729,0.44,1.07055103947751e-214,"2","S100A10"
6.78816524957582e-87,1.49114992554165,0.406,0.225,1.40162036073241e-82,"2","S100A4"
1.37670806190816e-109,2.34834413194962,0.267,0.098,2.84262680622798e-105,"3","IL4R"
1.79678014462936e-289,2.34374124850192,0.639,0.302,3.7099916426307e-285,"3","YBX3"
6.17276036867989e-156,2.2198243687573,0.383,0.152,1.27455156092502e-151,"3","FCER2"
6.02921753318229e-89,2.20068567833809,0.256,0.104,1.24491283625148e-84,"3","S1PR1"
1.30736816260606e-66,1.89038206943457,0.341,0.198,2.69945378214899e-62,"3","CLEC2B"
6.88605734737637e-68,1.75430676354382,0.313,0.167,1.42183312108627e-63,"3","CD72"
5.44820545799756e-170,1.71586669312453,0.655,0.464,1.12494546296734e-165,"3","TMEM123"
9.55941121749935e-79,1.71364420565826,0.426,0.272,1.97382722818927e-74,"3","KLF3"
6.91931258562865e-31,1.32311623606517,0.309,0.216,1.4286996626806e-26,"3","FCRL1"
3.59826491036764e-18,1.24762937391723,0.303,0.25,7.4296973869271e-14,"3","MXI1"
3.03093984736806e-186,6.03415009202559,0.468,0.149,6.25828459684557e-182,"4","IGHV3-23"
8.0718504206212e-129,5.89407353173021,0.3,0.088,1.66667567484986e-124,"4","AC233755.2"
7.86232262969566e-22,5.73703880446864,0.302,0.176,1.62341237657956e-17,"4","IGLV1-44"
3.84433015287049e-42,5.70359700934593,0.412,0.225,7.93777289964699e-38,"4","IGHV1-18"
9.71130225222789e-26,5.6393500797413,0.295,0.164,2.00518968904002e-21,"4","IGHV1-46"
