"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.59200101762884e-31,0.683710928130554,0.335,0.109,5.35196370120004e-27,"7","ATP6V1H"
2.9245270354869e-31,0.753812156187339,0.441,0.169,6.03856342287335e-27,"7","UBAP1"
3.12828335606977e-31,0.923580010088125,0.404,0.149,6.45927947361286e-27,"7","NCOA1"
3.16652034645629e-31,0.8481188495247,0.807,0.478,6.53823121136295e-27,"7","ACTR2"
3.49835346983871e-31,0.714486899369297,0.565,0.241,7.22340024452296e-27,"7","USP10"
3.83320218395024e-31,0.753962893320451,0.602,0.274,7.91479586942045e-27,"7","RAD23B"
3.83752472360575e-31,0.980210167621522,0.46,0.192,7.92372104930114e-27,"7","NDUFB1"
3.9036252630434e-31,0.879257892427282,0.773,0.472,8.06020544313201e-27,"7","CSNK2B"
3.95760435160835e-31,0.794237275103171,0.432,0.162,8.17166146520092e-27,"7","DAXX"
4.24899231435665e-31,0.845522274424122,0.606,0.28,8.77331933068361e-27,"7","SUZ12"
4.41906154379183e-31,0.738718934850559,0.901,0.659,9.12447827562138e-27,"7","SFPQ"
4.6810714412908e-31,0.908339412619342,0.404,0.151,9.66547631197724e-27,"7","UBXN2A"
4.84070029561284e-31,0.922144308305797,0.28,0.084,9.99507797038138e-27,"7","CFAP20"
4.99574765255931e-31,0.603820324999366,0.516,0.211,1.03152197530045e-26,"7","METAP2"
5.24240145359408e-31,0.831790203296391,0.832,0.631,1.0824510521381e-26,"7","RAN"
5.79617505894434e-31,0.935693265390534,0.401,0.149,1.19679422617083e-26,"7","TPP2"
5.96718888010796e-31,0.70161934324484,0.45,0.172,1.23210515996469e-26,"7","RAB1B"
6.39826296831999e-31,0.826150561347892,0.556,0.237,1.32111333769871e-26,"7","PHTF2"
