"clone_subgroup_id","size","n_cluster","clusters"
"373_1",1,1,"ASC 2"
"374_1",1,1,"ASC 2"
"375_1",1,1,"IgD+ve Memory"
"376_1",1,1,"ASC 2"
"377_1",1,1,"ASC 2"
"378_1",1,1,"Early-Activation"
"379_1",1,1,"NAIVE 1"
"37_1",1,1,"NAIVE 2"
"37_2",1,1,"ASC 2"
"380_1",1,1,"ASC 3"
"382_1",1,1,"IgD-ve Memory"
"383_1",1,1,"ASC 2"
"384_1",1,1,"ASC 2"
"386_1",1,1,"IgD+ve Memory"
"387_1",1,1,"NAIVE 2"
"389_1",1,1,"IgD+ve Memory"
"38_1",1,1,"NAIVE 2"
"390_1",1,1,"NAIVE 1"
"391_1",1,1,"Early-Activation"
"392_1",1,1,"NAIVE 2"
"393_1",1,1,"IgD+ve Memory"
"393_2",1,1,"DN2"
"395_1",1,1,"IgD+ve Memory"
"396_1",1,1,"Cell-Cycling"
"397_1",1,1,"IgD-ve Memory"
"398_1",1,1,"IgD-ve Memory"
"39_1",1,1,"ASC 2"
"3_1",1,1,"ASC 3"
"400_1",1,1,"ASC 2"
"401_1",1,1,"Cell-Cycling"
"402_1",1,1,"ASC 3"
"403_1",1,1,"IgD+ve Memory"
"404_2",1,1,"IgD+ve Memory"
"405_1",1,1,"ASC 2"
"405_2",1,1,"ASC 2"
"406_1",1,1,"Cell-Cycling"
"407_1",1,1,"ASC 2"
"408_1",1,1,"NAIVE 2"
"409_1",1,1,"ASC 2"
"40_1",1,1,"ASC 2"
"410_1",1,1,"NAIVE 1"
"411_1",1,1,"IgD+ve Memory"
"412_1",1,1,"IgD-ve Memory"
"414_1",1,1,"IgD+ve Memory"
"415_1",1,1,"ASC 2"
"416_1",1,1,"ASC 2"
"417_1",1,1,"Early-Activation"
"417_2",1,1,"IgD-ve Memory"
"418_1",1,1,"ASC 2"
"419_1",1,1,"NAIVE 1"
"41_1",1,1,"IgD-ve Memory"
"420_1",1,1,"IgD-ve Memory"
"421_1",1,1,"ASC 2"
"421_2",1,1,"NAIVE 1"
"422_1",1,1,"NAIVE 2"
"423_1",1,1,"IgD-ve Memory"
"424_1",1,1,"ASC 2"
"426_1",1,1,"NAIVE 2"
"427_1",1,1,"ASC 1"
"428_1",1,1,"ASC 2"
"429_1",1,1,"IgD+ve Memory"
"42_1",1,1,"Early-Activation"
"430_1",1,1,"Cell-Cycling"
"431_1",1,1,"NAIVE 1"
"432_1",1,1,"IgD-ve Memory"
"433_1",1,1,"ASC 2"
"434_1",1,1,"NAIVE 2"
"435_1",1,1,"ASC 1"
"436_1",1,1,"IgD+ve Memory"
"437_1",1,1,"ASC 2"
"439_1",1,1,"IgD-ve Memory"
"43_1",1,1,"Early-Activation"
"440_1",1,1,"ASC 2"
"441_1",1,1,"ASC 2"
"442_1",1,1,"ASC 2"
"443_1",1,1,"NAIVE 1"
"444_2",1,1,"IgD+ve Memory"
"445_1",1,1,"NAIVE 1"
"446_1",1,1,"ASC 2"
"447_1",1,1,"ASC 2"
"448_1",1,1,"IgD+ve Memory"
"449_1",1,1,"Cell-Cycling"
"44_1",1,1,"NAIVE 2"
"450_1",1,1,"NAIVE 1"
"451_1",1,1,"ASC 1"
"452_1",1,1,"NAIVE 1"
"453_1",1,1,"ASC 2"
"454_1",1,1,"IgD+ve Memory"
"455_1",1,1,"NAIVE 1"
"456_1",1,1,"ASC 2"
"457_1",1,1,"NAIVE 1"
"458_1",1,1,"ASC 3"
"459_1",1,1,"ASC 2"
"45_1",1,1,"IgD+ve Memory"
"460_1",1,1,"ASC 2"
"461_1",1,1,"ASC 1"
"462_1",1,1,"NAIVE 2"
"463_1",1,1,"IgD-ve Memory"
"464_1",1,1,"IgD+ve Memory"
"464_2",1,1,"Cell-Cycling"
"465_1",1,1,"NAIVE 1"
"466_1",1,1,"NAIVE 1"
"467_1",1,1,"IgD+ve Memory"
"468_1",1,1,"IgD-ve Memory"
"470_1",1,1,"ASC 2"
"471_2",1,1,"NAIVE 1"
"472_1",1,1,"DN2"
"473_1",1,1,"NAIVE 2"
"474_1",1,1,"NAIVE 2"
"475_1",1,1,"IgD-ve Memory"
"476_1",1,1,"NAIVE 2"
"477_1",1,1,"ASC 2"
"478_1",1,1,"IgD-ve Memory"
"479_1",1,1,"IgD+ve Memory"
"47_1",1,1,"IgD+ve Memory"
"480_1",1,1,"ASC 3"
"481_2",1,1,"NAIVE 1"
"481_3",1,1,"IgD+ve Memory"
"482_1",1,1,"IgD+ve Memory"
"483_1",1,1,"ASC 2"
"484_1",1,1,"NAIVE 1"
"485_1",1,1,"DN2"
"486_1",1,1,"ASC 2"
"488_1",1,1,"NAIVE 1"
"489_1",1,1,"ASC 2"
"48_1",1,1,"NAIVE 1"
"490_1",1,1,"IgD+ve Memory"
"491_1",1,1,"IgD+ve Memory"
"492_1",1,1,"NAIVE 2"
"493_1",1,1,"IgD-ve Memory"
"494_1",1,1,"IgD+ve Memory"
"495_1",1,1,"ASC 2"
"497_1",1,1,"ASC 2"
"498_1",1,1,"ASC 2"
"499_1",1,1,"NAIVE 2"
"49_1",1,1,"IgD-ve Memory"
"4_1",1,1,"ASC 1"
"500_1",1,1,"IgD+ve Memory"
"500_2",1,1,"IgD+ve Memory"
"502_2",1,1,"IgD+ve Memory"
"503_1",1,1,"ASC 2"
"504_1",1,1,"ASC 2"
"505_1",1,1,"IgD-ve Memory"
"506_1",1,1,"Early-Activation"
"507_1",1,1,"IgD+ve Memory"
"508_1",1,1,"NAIVE 1"
"509_1",1,1,"IgD-ve Memory"
"50_1",1,1,"NAIVE 1"
"510_1",1,1,"ASC 2"
"511_1",1,1,"IgD-ve Memory"
"512_2",1,1,"NAIVE 2"
"512_3",1,1,"NAIVE 2"
"513_1",1,1,"IgD+ve Memory"
"514_2",1,1,"IgD-ve Memory"
"515_1",1,1,"IgD+ve Memory"
"516_2",1,1,"IgD+ve Memory"
"516_3",1,1,"Cell-Cycling"
"517_1",1,1,"ASC 2"
"518_1",1,1,"Early-Activation"
"519_1",1,1,"IgD+ve Memory"
"521_1",1,1,"NAIVE 2"
"522_1",1,1,"ASC 2"
"523_1",1,1,"ASC 2"
"524_1",1,1,"IgD+ve Memory"
"525_1",1,1,"ASC 2"
"527_1",1,1,"NAIVE 1"
"528_1",1,1,"IgD-ve Memory"
"529_1",1,1,"IgD-ve Memory"
"52_1",1,1,"Cell-Cycling"
"530_1",1,1,"ASC 2"
"532_1",1,1,"ASC 2"
"533_1",1,1,"ASC 1"
"534_1",1,1,"ASC 2"
"535_1",1,1,"ASC 3"
"536_1",1,1,"ASC 1"
"537_1",1,1,"ASC 2"
"538_1",1,1,"ASC 2"
"539_1",1,1,"ASC 2"
"541_1",1,1,"IgD+ve Memory"
"542_1",1,1,"DN2"
"543_1",1,1,"IgD-ve Memory"
"544_1",1,1,"ASC 2"
"546_1",1,1,"IgD+ve Memory"
"547_1",1,1,"ASC 2"
"548_1",1,1,"ASC 2"
"549_1",1,1,"Early-Activation"
"54_1",1,1,"IgD-ve Memory"
"550_1",1,1,"IgD-ve Memory"
"551_1",1,1,"ASC 2"
"552_1",1,1,"ASC 1"
"553_1",1,1,"IgD-ve Memory"
"554_1",1,1,"NAIVE 1"
"556_1",1,1,"NAIVE 2"
"557_1",1,1,"NAIVE 1"
"558_2",1,1,"DN2"
"558_3",1,1,"IgD+ve Memory"
"559_1",1,1,"ASC 2"
"55_1",1,1,"NAIVE 1"
"560_1",1,1,"NAIVE 1"
"562_1",1,1,"NAIVE 1"
"563_1",1,1,"NAIVE 1"
"564_1",1,1,"ASC 2"
"566_1",1,1,"ASC 2"
"567_1",1,1,"NAIVE 2"
"568_1",1,1,"ASC 2"
"568_2",1,1,"IgD+ve Memory"
"568_3",1,1,"IgD+ve Memory"
"569_1",1,1,"IgD-ve Memory"
"56_1",1,1,"NAIVE 2"
"570_2",1,1,"IgD+ve Memory"
"571_1",1,1,"ASC 2"
"573_1",1,1,"ASC 2"
"573_2",1,1,"ASC 2"
"574_1",1,1,"NAIVE 1"
"575_1",1,1,"IgD-ve Memory"
"576_1",1,1,"IgD+ve Memory"
"577_1",1,1,"IgD+ve Memory"
"578_1",1,1,"IgD+ve Memory"
"579_1",1,1,"NAIVE 1"
"57_1",1,1,"IgD-ve Memory"
"580_1",1,1,"NAIVE 1"
"582_1",1,1,"NAIVE 1"
"584_1",1,1,"ASC 2"
"585_1",1,1,"NAIVE 2"
"586_1",1,1,"ASC 2"
"587_1",1,1,"NAIVE 2"
"588_1",1,1,"NAIVE 1"
"589_1",1,1,"IgD-ve Memory"
"58_1",1,1,"NAIVE 2"
"590_1",1,1,"NAIVE 2"
"591_1",1,1,"IgD+ve Memory"
"592_1",1,1,"NAIVE 1"
"593_1",1,1,"IgD+ve Memory"
"595_1",1,1,"ASC 2"
"596_1",1,1,"ASC 2"
"599_1",1,1,"NAIVE 1"
"59_1",1,1,"NAIVE 2"
"5_1",1,1,"ASC 2"
"600_1",1,1,"ASC 2"
"601_1",1,1,"NAIVE 1"
"602_1",1,1,"IgD+ve Memory"
"603_1",1,1,"Cell-Cycling"
"604_1",1,1,"ASC 2"
"605_1",1,1,"Early-Activation"
"606_1",1,1,"ASC 2"
"607_2",1,1,"Early-Activation"
"608_1",1,1,"NAIVE 1"
"609_1",1,1,"ASC 2"
"60_1",1,1,"IgD-ve Memory"
"610_1",1,1,"IgD-ve Memory"
"611_1",1,1,"DN2"
"612_1",1,1,"IgD-ve Memory"
"613_1",1,1,"ASC 3"
"614_1",1,1,"NAIVE 2"
"615_1",1,1,"NAIVE 1"
"618_1",1,1,"ASC 2"
"61_1",1,1,"Cell-Cycling"
"620_2",1,1,"IgD-ve Memory"
"621_1",1,1,"ASC 2"
"622_1",1,1,"Cell-Cycling"
"623_1",1,1,"NAIVE 1"
"624_1",1,1,"ASC 2"
"625_1",1,1,"Early-Activation"
"626_1",1,1,"ASC 2"
"627_1",1,1,"ASC 2"
"628_1",1,1,"ASC 2"
"629_1",1,1,"ASC 2"
"630_1",1,1,"NAIVE 2"
"631_1",1,1,"IgD+ve Memory"
"632_1",1,1,"NAIVE 2"
"633_1",1,1,"Cell-Cycling"
"634_1",1,1,"ASC 2"
"635_1",1,1,"ASC 3"
"636_1",1,1,"NAIVE 1"
"637_1",1,1,"ASC 2"
"638_1",1,1,"ASC 2"
"639_1",1,1,"NAIVE 2"
"63_1",1,1,"IgD+ve Memory"
"640_1",1,1,"NAIVE 1"
"641_1",1,1,"NAIVE 1"
"642_1",1,1,"NAIVE 2"
"644_1",1,1,"IgD+ve Memory"
"645_1",1,1,"ASC 2"
"646_1",1,1,"ASC 3"
"647_1",1,1,"IgD+ve Memory"
"649_1",1,1,"IgD+ve Memory"
"64_1",1,1,"IgD+ve Memory"
"650_1",1,1,"NAIVE 1"
"651_1",1,1,"ASC 2"
"652_1",1,1,"ASC 2"
"654_1",1,1,"ASC 2"
"655_1",1,1,"NAIVE 1"
"656_1",1,1,"ASC 2"
"657_1",1,1,"NAIVE 1"
"658_1",1,1,"ASC 2"
"659_1",1,1,"Cell-Cycling"
"65_1",1,1,"Cell-Cycling"
"660_1",1,1,"ASC 2"
"661_1",1,1,"IgD+ve Memory"
"662_1",1,1,"ASC 1"
"663_1",1,1,"NAIVE 1"
"664_1",1,1,"IgD+ve Memory"
"665_1",1,1,"ASC 2"
"666_1",1,1,"ASC 2"
"667_1",1,1,"ASC 2"
"668_1",1,1,"IgD+ve Memory"
"669_1",1,1,"IgD+ve Memory"
"66_1",1,1,"Cell-Cycling"
"670_1",1,1,"IgD+ve Memory"
"671_1",1,1,"NAIVE 1"
"672_1",1,1,"IgD+ve Memory"
"673_1",1,1,"ASC 2"
"674_1",1,1,"NAIVE 2"
"675_1",1,1,"Cell-Cycling"
"676_1",1,1,"ASC 1"
"677_1",1,1,"ASC 2"
"678_1",1,1,"Cell-Cycling"
"679_1",1,1,"ASC 2"
"67_1",1,1,"ASC 2"
"680_1",1,1,"ASC 3"
"681_1",1,1,"ASC 2"
"682_1",1,1,"ASC 2"
"683_1",1,1,"IgD-ve Memory"
"684_1",1,1,"NAIVE 1"
"685_1",1,1,"NAIVE 2"
"686_1",1,1,"NAIVE 2"
"687_1",1,1,"Cell-Cycling"
"688_1",1,1,"ASC 2"
"689_1",1,1,"NAIVE 1"
"68_1",1,1,"NAIVE 2"
"691_1",1,1,"ASC 3"
"694_1",1,1,"Cell-Cycling"
"695_1",1,1,"ASC 2"
"696_1",1,1,"IgD+ve Memory"
"697_1",1,1,"ASC 2"
"698_1",1,1,"ASC 2"
"699_1",1,1,"ASC 2"
"69_1",1,1,"NAIVE 2"
"6_1",1,1,"NAIVE 2"
"700_1",1,1,"IgD-ve Memory"
"701_1",1,1,"IgD-ve Memory"
"702_2",1,1,"IgD+ve Memory"
"702_3",1,1,"ASC 3"
"702_4",1,1,"IgD+ve Memory"
"704_1",1,1,"ASC 2"
"705_1",1,1,"ASC 2"
"706_1",1,1,"ASC 2"
"707_1",1,1,"NAIVE 2"
"708_1",1,1,"ASC 1"
"709_1",1,1,"ASC 2"
"710_1",1,1,"ASC 2"
"711_1",1,1,"ASC 2"
"712_1",1,1,"IgD+ve Memory"
"713_1",1,1,"IgD-ve Memory"
"715_1",1,1,"IgD+ve Memory"
"716_1",1,1,"IgD+ve Memory"
"717_1",1,1,"ASC 2"
"718_1",1,1,"ASC 2"
"719_1",1,1,"IgD-ve Memory"
"71_1",1,1,"IgD-ve Memory"
"720_1",1,1,"Cell-Cycling"
"721_1",1,1,"IgD+ve Memory"
"723_1",1,1,"IgD+ve Memory"
"724_1",1,1,"ASC 3"
"725_1",1,1,"IgD-ve Memory"
"726_1",1,1,"ASC 2"
"727_1",1,1,"ASC 1"
"728_1",1,1,"IgD+ve Memory"
"72_1",1,1,"ASC 2"
"731_1",1,1,"NAIVE 1"
"732_1",1,1,"IgD-ve Memory"
"733_1",1,1,"IgD+ve Memory"
"734_1",1,1,"NAIVE 2"
"736_2",1,1,"IgD+ve Memory"
"736_3",1,1,"NAIVE 1"
"737_1",1,1,"IgD+ve Memory"
"738_1",1,1,"NAIVE 2"
"739_1",1,1,"IgD+ve Memory"
"73_1",1,1,"IgD-ve Memory"
"740_1",1,1,"DN2"
"744_1",1,1,"IgD+ve Memory"
"745_1",1,1,"IgD+ve Memory"
"746_1",1,1,"ASC 3"
"747_1",1,1,"IgD+ve Memory"
"747_2",1,1,"IgD+ve Memory"
"748_1",1,1,"NAIVE 1"
"749_1",1,1,"IgD+ve Memory"
"74_1",1,1,"NAIVE 1"
"750_1",1,1,"ASC 2"
"752_1",1,1,"ASC 2"
"753_1",1,1,"NAIVE 1"
"754_1",1,1,"ASC 2"
"755_1",1,1,"IgD+ve Memory"
"756_1",1,1,"IgD-ve Memory"
"757_1",1,1,"ASC 3"
"758_1",1,1,"IgD-ve Memory"
"759_1",1,1,"IgD-ve Memory"
"760_1",1,1,"IgD+ve Memory"
"761_1",1,1,"IgD+ve Memory"
"762_1",1,1,"ASC 2"
"763_1",1,1,"ASC 2"
"764_1",1,1,"NAIVE 1"
"765_1",1,1,"HSP+"
"766_1",1,1,"ASC 3"
"767_1",1,1,"NAIVE 1"
"768_1",1,1,"NAIVE 1"
"769_1",1,1,"IgD+ve Memory"
"76_1",1,1,"IgD-ve Memory"
"770_1",1,1,"ASC 2"
"771_1",1,1,"IgD+ve Memory"
"773_1",1,1,"NAIVE 2"
"774_1",1,1,"NAIVE 1"
"775_1",1,1,"ASC 1"
"776_1",1,1,"NAIVE 2"
"778_1",1,1,"ASC 2"
"779_1",1,1,"NAIVE 1"
"77_1",1,1,"NAIVE 2"
"780_1",1,1,"IgD+ve Memory"
"781_1",1,1,"Cell-Cycling"
"782_1",1,1,"ASC 2"
"783_1",1,1,"ASC 2"
"784_1",1,1,"NAIVE 2"
"785_1",1,1,"ASC 2"
"786_1",1,1,"ASC 2"
"787_1",1,1,"ASC 2"
"788_1",1,1,"IgD-ve Memory"
"789_1",1,1,"IgD+ve Memory"
"78_1",1,1,"IgD+ve Memory"
"790_1",1,1,"IgD-ve Memory"
"792_1",1,1,"Early-Activation"
"793_1",1,1,"ASC 2"
"794_1",1,1,"Early-Activation"
"795_1",1,1,"IgD-ve Memory"
"796_1",1,1,"IgD-ve Memory"
"797_1",1,1,"NAIVE 2"
"798_1",1,1,"NAIVE 2"
"799_1",1,1,"ASC 2"
"79_1",1,1,"IgD-ve Memory"
"7_1",1,1,"ASC 2"
"800_1",1,1,"ASC 1"
"801_1",1,1,"ASC 2"
"802_1",1,1,"IgD-ve Memory"
"803_1",1,1,"NAIVE 1"
"804_1",1,1,"Early-Activation"
"805_1",1,1,"ASC 2"
"806_1",1,1,"ASC 2"
"808_1",1,1,"ASC 1"
"809_1",1,1,"IgD-ve Memory"
"811_1",1,1,"NAIVE 2"
"812_1",1,1,"ASC 2"
"813_1",1,1,"NAIVE 1"
"814_1",1,1,"NAIVE 1"
"817_1",1,1,"NAIVE 1"
"818_1",1,1,"HSP+"
"818_2",1,1,"IgD+ve Memory"
"819_1",1,1,"ASC 2"
"81_1",1,1,"ASC 2"
"821_1",1,1,"NAIVE 1"
"822_1",1,1,"NAIVE 2"
"823_1",1,1,"IgD+ve Memory"
"824_1",1,1,"IgD+ve Memory"
"824_2",1,1,"IgD+ve Memory"
"824_3",1,1,"IgD+ve Memory"
"824_4",1,1,"IgD+ve Memory"
"825_1",1,1,"IgD+ve Memory"
"826_1",1,1,"NAIVE 1"
"827_1",1,1,"ASC 2"
"828_1",1,1,"Cell-Cycling"
"829_1",1,1,"ASC 2"
"82_1",1,1,"ASC 2"
"830_1",1,1,"IgD-ve Memory"
"831_1",1,1,"IgD+ve Memory"
"832_1",1,1,"Cell-Cycling"
"833_1",1,1,"ASC 2"
"834_1",1,1,"NAIVE 2"
"835_1",1,1,"IgD+ve Memory"
"836_1",1,1,"ASC 2"
"837_1",1,1,"ASC 2"
"838_1",1,1,"NAIVE 1"
"839_1",1,1,"ASC 2"
"83_1",1,1,"NAIVE 1"
"840_1",1,1,"IgD+ve Memory"
"841_1",1,1,"NAIVE 2"
"842_1",1,1,"NAIVE 2"
"843_1",1,1,"NAIVE 2"
"844_1",1,1,"ASC 2"
"845_1",1,1,"NAIVE 1"
"846_1",1,1,"NAIVE 1"
"847_1",1,1,"IgD+ve Memory"
"849_1",1,1,"NAIVE 2"
"84_1",1,1,"NAIVE 1"
"850_1",1,1,"IgD-ve Memory"
"853_1",1,1,"ASC 2"
"855_1",1,1,"ASC 2"
"856_1",1,1,"IgD-ve Memory"
"857_1",1,1,"NAIVE 1"
"858_1",1,1,"NAIVE 1"
"859_1",1,1,"ASC 2"
"85_1",1,1,"IgD+ve Memory"
"860_1",1,1,"NAIVE 1"
"863_1",1,1,"ASC 2"
"864_1",1,1,"NAIVE 1"
"865_1",1,1,"NAIVE 2"
"867_1",1,1,"ASC 2"
"868_1",1,1,"NAIVE 1"
"869_1",1,1,"ASC 2"
"86_1",1,1,"IgD+ve Memory"
"870_1",1,1,"NAIVE 1"
"871_1",1,1,"ASC 2"
"872_1",1,1,"NAIVE 2"
"873_1",1,1,"IgD+ve Memory"
"875_1",1,1,"NAIVE 1"
"876_1",1,1,"NAIVE 1"
"877_1",1,1,"NAIVE 2"
"878_1",1,1,"NAIVE 2"
"87_1",1,1,"ASC 2"
"880_1",1,1,"DN2"
"882_1",1,1,"ASC 2"
"883_1",1,1,"IgD-ve Memory"
"885_1",1,1,"ASC 2"
"886_1",1,1,"NAIVE 1"
"887_1",1,1,"NAIVE 1"
"888_1",1,1,"ASC 2"
"88_1",1,1,"NAIVE 1"
"890_1",1,1,"IgD+ve Memory"
"891_1",1,1,"NAIVE 2"
"892_1",1,1,"NAIVE 2"
"893_1",1,1,"NAIVE 1"
"895_1",1,1,"ASC 2"
"897_1",1,1,"ASC 2"
"899_1",1,1,"Early-Activation"
"89_1",1,1,"IgD-ve Memory"
"8_1",1,1,"ASC 2"
"900_1",1,1,"IgD-ve Memory"
"901_1",1,1,"IgD-ve Memory"
"902_1",1,1,"ASC 2"
"903_1",1,1,"ASC 2"
"904_1",1,1,"NAIVE 2"
"905_1",1,1,"ASC 2"
"906_1",1,1,"NAIVE 1"
"907_1",1,1,"ASC 2"
"908_1",1,1,"NAIVE 1"
"909_1",1,1,"ASC 2"
"90_1",1,1,"ASC 2"
"910_1",1,1,"NAIVE 2"
"912_1",1,1,"IgD+ve Memory"
"913_1",1,1,"NAIVE 1"
"914_1",1,1,"ASC 2"
"915_1",1,1,"NAIVE 1"
"916_1",1,1,"ASC 2"
"917_1",1,1,"ASC 2"
"918_1",1,1,"NAIVE 1"
"919_1",1,1,"NAIVE 2"
"91_1",1,1,"IgD-ve Memory"
"920_1",1,1,"IgD+ve Memory"
"922_1",1,1,"Early-Activation"
"923_1",1,1,"IgD-ve Memory"
"924_1",1,1,"IgD-ve Memory"
"925_1",1,1,"IgD-ve Memory"
"926_1",1,1,"NAIVE 1"
"927_1",1,1,"ASC 2"
"928_1",1,1,"ASC 2"
"929_1",1,1,"IgD-ve Memory"
"930_1",1,1,"IgD+ve Memory"
"931_1",1,1,"Cell-Cycling"
"932_1",1,1,"ASC 2"
"933_1",1,1,"IgD-ve Memory"
"934_1",1,1,"ASC 2"
"935_1",1,1,"NAIVE 2"
"936_1",1,1,"NAIVE 1"
"937_1",1,1,"NAIVE 1"
"938_1",1,1,"IgD-ve Memory"
"93_1",1,1,"IgD-ve Memory"
"940_1",1,1,"ASC 2"
"941_1",1,1,"IgD-ve Memory"
"942_1",1,1,"IgD-ve Memory"
"943_2",1,1,"ASC 2"
"945_1",1,1,"ASC 2"
"946_1",1,1,"NAIVE 2"
"947_1",1,1,"IgD-ve Memory"
"948_1",1,1,"IgD+ve Memory"
"949_1",1,1,"NAIVE 2"
"94_1",1,1,"ASC 2"
"950_1",1,1,"IgD+ve Memory"
"952_1",1,1,"IgD+ve Memory"
"953_1",1,1,"ASC 2"
"954_1",1,1,"ASC 2"
"955_1",1,1,"ASC 2"
"956_1",1,1,"IgD+ve Memory"
"957_1",1,1,"NAIVE 1"
"958_1",1,1,"ASC 2"
"959_1",1,1,"NAIVE 1"
"960_1",1,1,"IgD-ve Memory"
"961_1",1,1,"DN2"
"962_1",1,1,"IgD+ve Memory"
"963_1",1,1,"ASC 2"
"964_1",1,1,"ASC 2"
"965_1",1,1,"IgD-ve Memory"
"966_1",1,1,"Early-Activation"
"967_1",1,1,"ASC 2"
"968_1",1,1,"IgD+ve Memory"
"969_1",1,1,"ASC 1"
"970_1",1,1,"NAIVE 1"
"971_1",1,1,"DN2"
"972_1",1,1,"IgD+ve Memory"
"973_1",1,1,"ASC 2"
"974_1",1,1,"IgD-ve Memory"
"975_1",1,1,"NAIVE 1"
"977_1",1,1,"ASC 2"
"978_1",1,1,"IgD+ve Memory"
"979_1",1,1,"NAIVE 1"
"981_1",1,1,"IgD-ve Memory"
"982_1",1,1,"IgD-ve Memory"
"983_1",1,1,"IgD+ve Memory"
"983_2",1,1,"ASC 2"
"984_1",1,1,"NAIVE 1"
"986_1",1,1,"ASC 2"
"987_1",1,1,"ASC 2"
"988_1",1,1,"ASC 2"
"98_1",1,1,"NAIVE 1"
"990_1",1,1,"IgD+ve Memory"
"991_1",1,1,"NAIVE 2"
"992_1",1,1,"ASC 2"
"993_1",1,1,"ASC 2"
"994_1",1,1,"IgD+ve Memory"
"995_1",1,1,"ASC 2"
"996_1",1,1,"IgD+ve Memory"
"997_1",1,1,"ASC 2"
"998_1",1,1,"ASC 2"
"999_1",1,1,"ASC 2"
"99_1",1,1,"IgD-ve Memory"
"9_1",1,1,"DN2"
