"clone_subgroup_id","gex_annotation","N","mean_SHM","median_SHM","sd_SHM"
"1227_1","IgD-ve Memory",1,0.0469208211143695,0.0469208211143695,NA
"1228_1","ASC 2",1,0.0680473372781065,0.0680473372781065,NA
"1229_1","ASC 3",2,0.0510204081632653,0.0510204081632653,0.00618460741562578
"122_1","ASC 2",1,0.0584795321637427,0.0584795321637427,NA
"1230_1","IgD-ve Memory",1,0.00597014925373134,0.00597014925373134,NA
"1231_1","NAIVE 2",1,0,0,NA
"1232_1","Cell-Cycling",1,0.00578034682080925,0.00578034682080925,NA
"1233_1","IgD-ve Memory",1,0.0260869565217391,0.0260869565217391,NA
"1234_1","ASC 3",1,0.00869565217391304,0.00869565217391304,NA
"1235_1","ASC 3",1,0.0235294117647059,0.0235294117647059,NA
"1236_1","ASC 2",1,0.128358208955224,0.128358208955224,NA
"1237_1","ASC 3",1,0.149253731343284,0.149253731343284,NA
"1238_1","ASC 2",2,0.0532544378698225,0.0532544378698225,0
"1239_1","ASC 2",1,0.0502958579881657,0.0502958579881657,NA
"123_1","ASC 2",1,0.0142857142857143,0.0142857142857143,NA
"1240_1","ASC 2",2,0.0398860398860399,0.0398860398860399,0
"1241_1","NAIVE 2",1,0,0,NA
"1242_1","Cell-Cycling",1,0.00882352941176471,0.00882352941176471,NA
"1243_1","ASC 2",1,0.0150602409638554,0.0150602409638554,NA
"1244_1","ASC 2",1,0.00854700854700855,0.00854700854700855,NA
"1244_1","Cell-Cycling",1,0.00854700854700855,0.00854700854700855,NA
"1245_1","Cell-Cycling",1,0.0230547550432277,0.0230547550432277,NA
"1246_1","ASC 2",2,0.0964391691394659,0.0964391691394659,0.00629471912035502
"1247_1","ASC 2",2,0.0256410256410256,0.0256410256410256,0
"1248_1","IgD-ve Memory",1,0.0512820512820513,0.0512820512820513,NA
"1249_1","ASC 2",1,0.0056657223796034,0.0056657223796034,NA
"124_1","NAIVE 2",1,0,0,NA
"1250_1","NAIVE 2",1,0,0,NA
"1251_1","NAIVE 1",1,0.00854700854700855,0.00854700854700855,NA
"1252_1","IgD+ve Memory",1,0.0291545189504373,0.0291545189504373,NA
"1252_1","IgD-ve Memory",1,0.032069970845481,0.032069970845481,NA
"1252_1","NAIVE 1",2,0.032069970845481,0.032069970845481,0.00824614322083437
"1252_2","ASC 2",1,0.0379008746355685,0.0379008746355685,NA
"1252_2","IgD+ve Memory",1,0.032069970845481,0.032069970845481,NA
"1252_2","NAIVE 1",1,0.0379008746355685,0.0379008746355685,NA
"1252_3","IgD+ve Memory",1,0.0291545189504373,0.0291545189504373,NA
"1252_4","DN2",1,0.0262390670553936,0.0262390670553936,NA
"1253_1","ASC 2",1,0.00294117647058824,0.00294117647058824,NA
"1254_1","ASC 2",4,0.0362858189142177,0.0362537764350453,0.00498597651651751
"1254_2","ASC 2",1,0.027190332326284,0.027190332326284,NA
"1255_1","ASC 2",1,0,0,NA
"1256_1","Cell-Cycling",1,0,0,NA
"1257_1","IgD-ve Memory",1,0.0692771084337349,0.0692771084337349,NA
"1258_1","IgD+ve Memory",1,0,0,NA
"1259_1","IgD-ve Memory",1,0.0483383685800604,0.0483383685800604,NA
"125_1","IgD-ve Memory",1,0.00882352941176471,0.00882352941176471,NA
"1260_1","IgD-ve Memory",1,0.027027027027027,0.027027027027027,NA
"1261_1","ASC 2",1,0.0235294117647059,0.0235294117647059,NA
"1262_1","IgD-ve Memory",1,0.0205882352941176,0.0205882352941176,NA
"1262_1","NAIVE 1",1,0.0205882352941176,0.0205882352941176,NA
"1263_1","ASC 2",1,0.0495626822157434,0.0495626822157434,NA
"1264_1","NAIVE 2",1,0,0,NA
"1265_1","IgD-ve Memory",1,0.0840840840840841,0.0840840840840841,NA
"1265_2","Early-Activation",1,0.0840840840840841,0.0840840840840841,NA
"1266_1","ASC 2",1,0.0725075528700906,0.0725075528700906,NA
"1267_1","IgD+ve Memory",1,0.0941176470588235,0.0941176470588235,NA
"1268_1","IgD+ve Memory",1,0.0900900900900901,0.0900900900900901,NA
