gene,is_receptor_gene
AL109840.2,FALSE
SLCO3A1,FALSE
SEC61G,FALSE
FASTKD1,FALSE
E2F1,FALSE
LINC02099,FALSE
CLEC2D,FALSE
HIST1H3D,FALSE
ALPK1,FALSE
AC087623.2,FALSE
AC090559.1,FALSE
MCM4,FALSE
ADTRP,FALSE
NPC2,FALSE
BTD,FALSE
MIR22HG,FALSE
SLC39A7,FALSE
NIBAN1,FALSE
NDUFC2,FALSE
AC119674.1,FALSE
CCNE2,FALSE
ATP8A1,FALSE
AL590550.1,FALSE
KANK2,FALSE
H2AFV,FALSE
SYBU,FALSE
CAMK2N2,FALSE
AURKA,FALSE
LINC01320,FALSE
ABTB2,FALSE
PHF19,FALSE
GLDC,FALSE
DNAJC3,FALSE
AL117329.1,FALSE
AC011611.3,FALSE
ATP1B1,FALSE
DMD,FALSE
AC025171.3,FALSE
GEM,FALSE
NUGGC,FALSE
SLC2A5,FALSE
ZYG11A,FALSE
SERPINB1,FALSE
SYNM,FALSE
AL079338.1,FALSE
AF196972.1,FALSE
HES6,FALSE
PRKCG,FALSE
ATRAID,FALSE
KNL1,FALSE
GPR18,FALSE
FANCI,FALSE
HIST2H2BF,FALSE
FBXO30,FALSE
DLGAP2,FALSE
LINC02842,FALSE
PTPRM,FALSE
ATP5MC1,FALSE
BCL2A1,FALSE
HYOU1,FALSE
POLA1,FALSE
AL117381.1,FALSE
ATP2B4,FALSE
FOXM1,FALSE
PIK3R5,FALSE
C2orf42,FALSE
HIST1H2AL,FALSE
LCP1,FALSE
HIST1H3F,FALSE
BLNK,FALSE
MBIP,FALSE
FILIP1L,FALSE
RBMS3,FALSE
AC109454.3,FALSE
VEGFA,FALSE
CASP3,FALSE
F3,FALSE
TPM2,FALSE
HYMAI,FALSE
CCL3L1,FALSE
FCRL5,FALSE
H2AFJ,FALSE
NOX3,FALSE
MGAT2,FALSE
HSD17B8,FALSE
QPRT,FALSE
CNPY2,FALSE
TSC22D1,FALSE
HILPDA,FALSE
RRP12,FALSE
PPP1R14A,FALSE
GYG1,FALSE
NUP210,FALSE
AL136441.1,FALSE
GNG3,FALSE
AC008147.1,FALSE
MIR503HG,FALSE
SLC35B1,FALSE
TYMP,FALSE
CREB5,FALSE
RRM1,FALSE
GPC5,FALSE
DSTN,FALSE
ROR1,FALSE
PDCD1,FALSE
IQCD,FALSE
DEF8,FALSE
MANEA-DT,FALSE
CHAF1A,FALSE
TNFAIP8L3,FALSE
TRIO,FALSE
NDRG1,FALSE
YIF1B,FALSE
GAS7,FALSE
MCU,FALSE
MLKL,FALSE
CANX,FALSE
AC016074.2,FALSE
AC104248.1,FALSE
KLK1,FALSE
HERPUD1,FALSE
EYA2,FALSE
AC024619.3,FALSE
AC022498.1,FALSE
AC104170.1,FALSE
RGS6,FALSE
IFNG,FALSE
FUCA2,FALSE
NANS,FALSE
AC092053.2,FALSE
TMPRSS9,FALSE
TNIK,FALSE
MIR3681HG,FALSE
UACA,FALSE
SKA3,FALSE
FBXW7,FALSE
CPM,FALSE
CD96,FALSE
CEBPB,FALSE
AC015912.3,FALSE
TTLL7,FALSE
REEP5,FALSE
AC079163.2,FALSE
BASP1,FALSE
STT3A,FALSE
SMIM24,FALSE
CRISPLD2,FALSE
CDKN2C,FALSE
NDUFB7,FALSE
PIF1,FALSE
IL21R,FALSE
HES1,FALSE
CFL2,FALSE
PGM3,FALSE
IER5L,FALSE
CDC42EP2,FALSE
NIF3L1,FALSE
ZBTB20-AS5,FALSE
AC002460.2,FALSE
XKR8,FALSE
ACTG1,FALSE
SEC14L1,FALSE
TTC39C,FALSE
HIST3H2A,FALSE
MIR646HG,FALSE
GPRC5D,FALSE
PBK,FALSE
CT69,FALSE
ECT2,FALSE
Z95115.2,FALSE
TNFSF11,FALSE
PRC1,FALSE
SPATS2,FALSE
GMPPB,FALSE
TDRD15,FALSE
B3GNT5,FALSE
NLRP14,FALSE
EAF2,FALSE
KCNK12,FALSE
P2RX1,FALSE
AKR1A1,FALSE
FSCN1,FALSE
KIF3C,FALSE
LINC01208,FALSE
PRDX3,FALSE
RPN1,FALSE
GNG8,FALSE
CDC25A,FALSE
DDR2,FALSE
FUT7,FALSE
LRRC59,FALSE
TBC1D9,FALSE
PAPSS1,FALSE
AC009309.1,FALSE
SOCS1,FALSE
PCBP3,FALSE
FAM89B,FALSE
C10orf105,FALSE
RFTN1,FALSE
GPAT3,FALSE
SYTL2,FALSE
OASL,FALSE
LINC02227,FALSE
LINC02245,FALSE
ZNF165,FALSE
NT5DC2,FALSE
HJURP,FALSE
PCOLCE,FALSE
SMC2,FALSE
WWOX,FALSE
MRPS24,FALSE
PRDX5,FALSE
COPE,FALSE
AC008937.1,FALSE
PDXK,FALSE
IRF4,FALSE
B9D1,FALSE
GALK2,FALSE
CKAP4,FALSE
DPM3,FALSE
TVP23A,FALSE
MRPS31,FALSE
AL354707.1,FALSE
ADAM23,FALSE
CRYBA4,FALSE
INPP5F,FALSE
FANCA,FALSE
NUDT1,FALSE
SPRY1,FALSE
YIPF3,FALSE
AC110491.3,FALSE
IQSEC3,FALSE
CTLA4,FALSE
TMEM131L,FALSE
TTK,FALSE
NDUFA4L2,FALSE
HIST1H2BD,FALSE
AC012629.2,FALSE
RGS7,FALSE
PKIA-AS1,FALSE
SLC1A4,FALSE
LINC02456,FALSE
CNTLN,FALSE
TMEM156,FALSE
ABHD3,FALSE
U91328.2,FALSE
ABHD14A,FALSE
ANLN,FALSE
GLRX5,FALSE
AKAP1,FALSE
LINC01781,FALSE
CADPS,FALSE
GALNT2,FALSE
NDUFA7,FALSE
TRAM1,FALSE
KAZN,FALSE
RABAC1,FALSE
UBE2J1,FALSE
MTRNR2L8,FALSE
FCRL4,FALSE
AC009292.2,FALSE
TMEM176A,FALSE
TMEM205,FALSE
TIMD4,FALSE
UCP3,FALSE
AC105402.3,FALSE
